Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2015-11-23T16:00:00Z,TQQQ,5.0178462000473,5143513,Market,Filled,25809357.161944,Warning: No quote information available at 11/23/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-12-14T16:00:00Z,TQQQ,4.4419347671851,-5143513,Market,Filled,-22847149.220169,Warning: No quote information available at 12/14/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-12-14T16:00:00Z,SHY,75.252190072,305535,Market,Filled,22992177.893649,Warning: No quote information available at 12/14/2015 11:00:00 America/New_York, order filled using TradeBar data 
2016-03-14T15:00:00Z,SHY,75.501447336,-305535,Market,Filled,-23068334.711805,Warning: No quote information available at 03/14/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-03-14T15:00:00Z,TQQQ,3.8299528786404,6008309,Market,Filled,23011540.350311,Warning: No quote information available at 03/14/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-06-27T15:00:00Z,TQQQ,3.3282087872376,44800,Market,Filled,149103.75366824,Warning: No quote information available at 06/27/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-07-05T15:00:00Z,TQQQ,3.8672391923796,-42237,Market,Filled,-163340.58176854,Warning: No quote information available at 07/05/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-07-18T15:00:00Z,TQQQ,4.4613884960925,-40068,Market,Filled,-178758.91426143,Warning: No quote information available at 07/18/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-08-15T15:00:00Z,TQQQ,5.1066038381873,-37755,Market,Filled,-192799.82791076,Warning: No quote information available at 08/15/2016 11:00:00 America/New_York, order filled using TradeBar data 
2017-01-30T16:00:00Z,TQQQ,5.9228321117453,-40915,Market,Filled,-242332.67585206,Warning: No quote information available at 01/30/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-02-21T16:00:00Z,TQQQ,6.8249960833304,-38970,Market,Filled,-265970.09736739,Warning: No quote information available at 02/21/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-05-01T15:00:00Z,TQQQ,7.8746837232251,-39035,Market,Filled,-307388.27913609,Warning: No quote information available at 05/01/2017 11:00:00 America/New_York, order filled using TradeBar data 
